experiment,plate_number,plate_name,zone,strain,treatment,row,column,well
8x6,9,f3,F,F.1.21a,20,D,4,D4
8x6,9,f3,F,F.1.21a,24,E,4,E4
8x6,9,f3,F,F.1.21a,28,F,4,F4
8x6,9,f3,F,F.1.26b,8,A,5,A5
8x6,9,f3,F,F.1.26b,12,B,5,B5
8x6,9,f3,F,F.1.26b,16,C,5,C5
8x6,9,f3,F,F.1.26b,20,D,5,D5
8x6,9,f3,F,F.1.26b,24,E,5,E5
8x6,9,f3,F,F.1.26b,28,F,5,F5
8x6,9,f3,F,F.1.30a,8,A,6,A6
8x6,9,f3,F,F.1.30a,12,B,6,B6
8x6,9,f3,F,F.1.30a,16,C,6,C6
8x6,9,f3,F,F.1.30a,20,D,6,D6
8x6,9,f3,F,F.1.30a,24,E,6,E6
8x6,9,f3,F,F.1.30a,28,F,6,F6
8x6,9,f3,F,F.1.33a,8,A,7,A7
8x6,9,f3,F,F.1.33a,12,B,7,B7
8x6,9,f3,F,F.1.33a,16,C,7,C7
8x6,9,f3,F,F.1.33a,20,D,7,D7
8x6,9,f3,F,F.1.33a,24,E,7,E7
8x6,9,f3,F,F.1.33a,28,F,7,F7
8x6,9,f3,F,F.1.37a,8,A,8,A8
8x6,9,f3,F,F.1.37a,12,B,8,B8
8x6,9,f3,F,F.1.37a,16,C,8,C8
8x6,9,f3,F,F.1.37a,20,D,8,D8
8x6,9,f3,F,F.1.37a,24,E,8,E8
8x6,9,f3,F,F.1.37a,28,F,8,F8
8x6,10,i1,I,I.3.11a,8,A,1,A1
8x6,10,i1,I,I.3.11a,12,B,1,B1
8x6,10,i1,I,I.3.11a,16,C,1,C1
8x6,10,i1,I,I.3.11a,20,D,1,D1
8x6,10,i1,I,I.3.11a,24,E,1,E1
8x6,10,i1,I,I.3.11a,28,F,1,F1
8x6,10,i1,I,I.3.13b,8,A,2,A2
8x6,10,i1,I,I.3.13b,12,B,2,B2
8x6,10,i1,I,I.3.13b,16,C,2,C2
8x6,10,i1,I,I.3.13b,20,D,2,D2
8x6,10,i1,I,I.3.13b,24,E,2,E2
8x6,10,i1,I,I.3.13b,28,F,2,F2
8x6,10,i1,I,I.3.17b,8,A,3,A3
8x6,10,i1,I,I.3.17b,12,B,3,B3
8x6,10,i1,I,I.3.17b,16,C,3,C3
8x6,10,i1,I,I.3.17b,20,D,3,D3
8x6,10,i1,I,I.3.17b,24,E,3,E3
8x6,10,i1,I,I.3.17b,28,F,3,F3
8x6,10,i1,I,I.3.22b,8,A,4,A4
8x6,10,i1,I,I.3.22b,12,B,4,B4
8x6,10,i1,I,I.3.22b,16,C,4,C4
8x6,10,i1,I,I.3.22b,20,D,4,D4
8x6,10,i1,I,I.3.22b,24,E,4,E4
8x6,10,i1,I,I.3.22b,28,F,4,F4
8x6,10,i1,I,I.3.28a,8,A,5,A5
8x6,10,i1,I,I.3.28a,12,B,5,B5
8x6,10,i1,I,I.3.28a,16,C,5,C5
8x6,10,i1,I,I.3.28a,20,D,5,D5
8x6,10,i1,I,I.3.28a,24,E,5,E5
8x6,10,i1,I,I.3.28a,28,F,5,F5
8x6,10,i1,I,I.3.44b,8,A,6,A6
8x6,10,i1,I,I.3.44b,12,B,6,B6
8x6,10,i1,I,I.3.44b,16,C,6,C6
8x6,10,i1,I,I.3.44b,20,D,6,D6
8x6,10,i1,I,I.3.44b,24,E,6,E6
8x6,10,i1,I,I.3.44b,28,F,6,F6
8x6,10,i1,I,I.5.3a,8,A,7,A7
8x6,10,i1,I,I.5.3a,12,B,7,B7
8x6,10,i1,I,I.5.3a,16,C,7,C7
8x6,10,i1,I,I.5.3a,20,D,7,D7
8x6,10,i1,I,I.5.3a,24,E,7,E7
8x6,10,i1,I,I.5.3a,28,F,7,F7
8x6,10,i1,I,I.5.19b,8,A,8,A8
8x6,10,i1,I,I.5.19b,12,B,8,B8
8x6,10,i1,I,I.5.19b,16,C,8,C8
8x6,10,i1,I,I.5.19b,20,D,8,D8
8x6,10,i1,I,I.5.19b,24,E,8,E8
8x6,10,i1,I,I.5.19b,28,F,8,F8
8x6,11,i2,I,I.3.11a,8,A,1,A1
8x6,11,i2,I,I.3.11a,12,B,1,B1
8x6,11,i2,I,I.3.11a,16,C,1,C1
8x6,11,i2,I,I.3.11a,20,D,1,D1
8x6,11,i2,I,I.3.11a,24,E,1,E1
8x6,11,i2,I,I.3.11a,28,F,1,F1
8x6,11,i2,I,I.3.13b,8,A,2,A2
8x6,11,i2,I,I.3.13b,12,B,2,B2
8x6,11,i2,I,I.3.13b,16,C,2,C2
8x6,11,i2,I,I.3.13b,20,D,2,D2
8x6,11,i2,I,I.3.13b,24,E,2,E2
8x6,11,i2,I,I.3.13b,28,F,2,F2
8x6,11,i2,I,I.3.17b,8,A,3,A3
8x6,11,i2,I,I.3.17b,12,B,3,B3
8x6,11,i2,I,I.3.17b,16,C,3,C3
8x6,11,i2,I,I.3.17b,20,D,3,D3
8x6,11,i2,I,I.3.17b,24,E,3,E3
8x6,11,i2,I,I.3.17b,28,F,3,F3
8x6,11,i2,I,I.3.22b,8,A,4,A4
8x6,11,i2,I,I.3.22b,12,B,4,B4
8x6,11,i2,I,I.3.22b,16,C,4,C4
8x6,11,i2,I,I.3.22b,20,D,4,D4
8x6,11,i2,I,I.3.22b,24,E,4,E4
8x6,11,i2,I,I.3.22b,28,F,4,F4
8x6,11,i2,I,I.3.28a,8,A,5,A5
8x6,11,i2,I,I.3.28a,12,B,5,B5
8x6,11,i2,I,I.3.28a,16,C,5,C5
8x6,11,i2,I,I.3.28a,20,D,5,D5
8x6,11,i2,I,I.3.28a,24,E,5,E5
8x6,11,i2,I,I.3.28a,28,F,5,F5
8x6,11,i2,I,I.3.44b,8,A,6,A6
8x6,11,i2,I,I.3.44b,12,B,6,B6
8x6,11,i2,I,I.3.44b,16,C,6,C6
8x6,11,i2,I,I.3.44b,20,D,6,D6
8x6,11,i2,I,I.3.44b,24,E,6,E6
8x6,11,i2,I,I.3.44b,28,F,6,F6
8x6,11,i2,I,I.5.3a,8,A,7,A7
8x6,11,i2,I,I.5.3a,12,B,7,B7
8x6,11,i2,I,I.5.3a,16,C,7,C7
8x6,11,i2,I,I.5.3a,20,D,7,D7
8x6,11,i2,I,I.5.3a,24,E,7,E7
8x6,11,i2,I,I.5.3a,28,F,7,F7
8x6,11,i2,I,I.5.19b,8,A,8,A8
8x6,11,i2,I,I.5.19b,12,B,8,B8
8x6,11,i2,I,I.5.19b,16,C,8,C8
8x6,11,i2,I,I.5.19b,20,D,8,D8
8x6,11,i2,I,I.5.19b,24,E,8,E8
8x6,11,i2,I,I.5.19b,28,F,8,F8
8x6,12,i3,I,I.3.11a,8,A,1,A1
8x6,12,i3,I,I.3.11a,12,B,1,B1
8x6,12,i3,I,I.3.11a,16,C,1,C1
8x6,12,i3,I,I.3.11a,20,D,1,D1
8x6,12,i3,I,I.3.11a,24,E,1,E1
8x6,12,i3,I,I.3.11a,28,F,1,F1
8x6,12,i3,I,I.3.13b,8,A,2,A2
8x6,12,i3,I,I.3.13b,12,B,2,B2
8x6,12,i3,I,I.3.13b,16,C,2,C2
8x6,12,i3,I,I.3.13b,20,D,2,D2
8x6,12,i3,I,I.3.13b,24,E,2,E2
8x6,12,i3,I,I.3.13b,28,F,2,F2
8x6,12,i3,I,I.3.17b,8,A,3,A3
8x6,12,i3,I,I.3.17b,12,B,3,B3
8x6,12,i3,I,I.3.17b,16,C,3,C3
8x6,12,i3,I,I.3.17b,20,D,3,D3
8x6,12,i3,I,I.3.17b,24,E,3,E3
8x6,12,i3,I,I.3.17b,28,F,3,F3
8x6,12,i3,I,I.3.22b,8,A,4,A4
8x6,12,i3,I,I.3.22b,12,B,4,B4
8x6,12,i3,I,I.3.22b,16,C,4,C4
8x6,12,i3,I,I.3.22b,20,D,4,D4
8x6,12,i3,I,I.3.22b,24,E,4,E4
8x6,12,i3,I,I.3.22b,28,F,4,F4
8x6,12,i3,I,I.3.28a,8,A,5,A5
8x6,12,i3,I,I.3.28a,12,B,5,B5
8x6,12,i3,I,I.3.28a,16,C,5,C5
8x6,12,i3,I,I.3.28a,20,D,5,D5
8x6,12,i3,I,I.3.28a,24,E,5,E5
8x6,12,i3,I,I.3.28a,28,F,5,F5
8x6,12,i3,I,I.3.44b,8,A,6,A6
8x6,12,i3,I,I.3.44b,12,B,6,B6
8x6,12,i3,I,I.3.44b,16,C,6,C6
8x6,12,i3,I,I.3.44b,20,D,6,D6
8x6,12,i3,I,I.3.44b,24,E,6,E6
8x6,12,i3,I,I.3.44b,28,F,6,F6
8x6,12,i3,I,I.5.3a,8,A,7,A7
8x6,12,i3,I,I.5.3a,12,B,7,B7
8x6,12,i3,I,I.5.3a,16,C,7,C7
8x6,12,i3,I,I.5.3a,20,D,7,D7
8x6,12,i3,I,I.5.3a,24,E,7,E7
8x6,12,i3,I,I.5.3a,28,F,7,F7
8x6,12,i3,I,I.5.19b,8,A,8,A8
8x6,12,i3,I,I.5.19b,12,B,8,B8
8x6,12,i3,I,I.5.19b,16,C,8,C8
8x6,12,i3,I,I.5.19b,20,D,8,D8
8x6,12,i3,I,I.5.19b,24,E,8,E8
8x6,12,i3,I,I.5.19b,28,F,8,F8
8x6,13,j1,J,J.2.5b,8,A,1,A1
8x6,13,j1,J,J.2.5b,12,B,1,B1
8x6,13,j1,J,J.2.5b,16,C,1,C1
8x6,13,j1,J,J.2.5b,20,D,1,D1
8x6,13,j1,J,J.2.5b,24,E,1,E1
8x6,13,j1,J,J.2.5b,28,F,1,F1
8x6,13,j1,J,J.3.1a,8,A,2,A2
8x6,13,j1,J,J.3.1a,12,B,2,B2
8x6,13,j1,J,J.3.1a,16,C,2,C2
8x6,13,j1,J,J.3.1a,20,D,2,D2
8x6,13,j1,J,J.3.1a,24,E,2,E2
8x6,13,j1,J,J.3.1a,28,F,2,F2
8x6,13,j1,J,J.3.4a,8,A,3,A3
8x6,13,j1,J,J.3.4a,12,B,3,B3
8x6,13,j1,J,J.3.4a,16,C,3,C3
8x6,13,j1,J,J.3.4a,20,D,3,D3
8x6,13,j1,J,J.3.4a,24,E,3,E3
8x6,13,j1,J,J.3.4a,28,F,3,F3
8x6,13,j1,J,J.3.20a,8,A,4,A4
8x6,13,j1,J,J.3.20a,12,B,4,B4
8x6,13,j1,J,J.3.20a,16,C,4,C4
8x6,13,j1,J,J.3.20a,20,D,4,D4
8x6,13,j1,J,J.3.20a,24,E,4,E4
8x6,13,j1,J,J.3.20a,28,F,4,F4
8x6,13,j1,J,J.3.28b,8,A,5,A5
8x6,13,j1,J,J.3.28b,12,B,5,B5
8x6,13,j1,J,J.3.28b,16,C,5,C5
8x6,13,j1,J,J.3.28b,20,D,5,D5
8x6,13,j1,J,J.3.28b,24,E,5,E5
8x6,13,j1,J,J.3.28b,28,F,5,F5
8x6,13,j1,J,J.3.32a,8,A,6,A6
8x6,13,j1,J,J.3.32a,12,B,6,B6
8x6,13,j1,J,J.3.32a,16,C,6,C6
8x6,13,j1,J,J.3.32a,20,D,6,D6
8x6,13,j1,J,J.3.32a,24,E,6,E6
8x6,13,j1,J,J.3.32a,28,F,6,F6
8x6,13,j1,J,J.3.38a,8,A,7,A7
8x6,13,j1,J,J.3.38a,12,B,7,B7
8x6,13,j1,J,J.3.38a,16,C,7,C7
8x6,13,j1,J,J.3.38a,20,D,7,D7
8x6,13,j1,J,J.3.38a,24,E,7,E7
8x6,13,j1,J,J.3.38a,28,F,7,F7
8x6,13,j1,J,J.3.42b,8,A,8,A8
8x6,13,j1,J,J.3.42b,12,B,8,B8
8x6,13,j1,J,J.3.42b,16,C,8,C8
8x6,13,j1,J,J.3.42b,20,D,8,D8
8x6,13,j1,J,J.3.42b,24,E,8,E8
8x6,13,j1,J,J.3.42b,28,F,8,F8
8x6,14,j2,J,J.2.5b,8,A,1,A1
8x6,14,j2,J,J.2.5b,12,B,1,B1
8x6,14,j2,J,J.2.5b,16,C,1,C1
8x6,14,j2,J,J.2.5b,20,D,1,D1
8x6,14,j2,J,J.2.5b,24,E,1,E1
8x6,14,j2,J,J.2.5b,28,F,1,F1
8x6,14,j2,J,J.3.1a,8,A,2,A2
8x6,14,j2,J,J.3.1a,12,B,2,B2
8x6,14,j2,J,J.3.1a,16,C,2,C2
8x6,14,j2,J,J.3.1a,20,D,2,D2
8x6,14,j2,J,J.3.1a,24,E,2,E2
8x6,14,j2,J,J.3.1a,28,F,2,F2
8x6,14,j2,J,J.3.4a,8,A,3,A3
8x6,14,j2,J,J.3.4a,12,B,3,B3
8x6,14,j2,J,J.3.4a,16,C,3,C3
8x6,14,j2,J,J.3.4a,20,D,3,D3
8x6,14,j2,J,J.3.4a,24,E,3,E3
8x6,14,j2,J,J.3.4a,28,F,3,F3
8x6,14,j2,J,J.3.20a,8,A,4,A4
8x6,14,j2,J,J.3.20a,12,B,4,B4
8x6,14,j2,J,J.3.20a,16,C,4,C4
8x6,14,j2,J,J.3.20a,20,D,4,D4
8x6,14,j2,J,J.3.20a,24,E,4,E4
8x6,14,j2,J,J.3.20a,28,F,4,F4
8x6,14,j2,J,J.3.28b,8,A,5,A5
8x6,14,j2,J,J.3.28b,12,B,5,B5
8x6,14,j2,J,J.3.28b,16,C,5,C5
8x6,14,j2,J,J.3.28b,20,D,5,D5
8x6,14,j2,J,J.3.28b,24,E,5,E5
8x6,14,j2,J,J.3.28b,28,F,5,F5
8x6,14,j2,J,J.3.32a,8,A,6,A6
8x6,14,j2,J,J.3.32a,12,B,6,B6
8x6,14,j2,J,J.3.32a,16,C,6,C6
8x6,14,j2,J,J.3.32a,20,D,6,D6
8x6,14,j2,J,J.3.32a,24,E,6,E6
8x6,14,j2,J,J.3.32a,28,F,6,F6
8x6,14,j2,J,J.3.38a,8,A,7,A7
8x6,14,j2,J,J.3.38a,12,B,7,B7
8x6,14,j2,J,J.3.38a,16,C,7,C7
8x6,14,j2,J,J.3.38a,20,D,7,D7
8x6,14,j2,J,J.3.38a,24,E,7,E7
8x6,14,j2,J,J.3.38a,28,F,7,F7
8x6,14,j2,J,J.3.42b,8,A,8,A8
8x6,14,j2,J,J.3.42b,12,B,8,B8
8x6,14,j2,J,J.3.42b,16,C,8,C8
8x6,14,j2,J,J.3.42b,20,D,8,D8
8x6,14,j2,J,J.3.42b,24,E,8,E8
8x6,14,j2,J,J.3.42b,28,F,8,F8
8x6,15,j3,J,J.2.5b,8,A,1,A1
8x6,15,j3,J,J.2.5b,12,B,1,B1
8x6,15,j3,J,J.2.5b,16,C,1,C1
8x6,15,j3,J,J.2.5b,20,D,1,D1
8x6,15,j3,J,J.2.5b,24,E,1,E1
8x6,15,j3,J,J.2.5b,28,F,1,F1
8x6,15,j3,J,J.3.1a,8,A,2,A2
8x6,15,j3,J,J.3.1a,12,B,2,B2
8x6,15,j3,J,J.3.1a,16,C,2,C2
8x6,15,j3,J,J.3.1a,20,D,2,D2
8x6,15,j3,J,J.3.1a,24,E,2,E2
8x6,15,j3,J,J.3.1a,28,F,2,F2
8x6,15,j3,J,J.3.4a,8,A,3,A3
8x6,15,j3,J,J.3.4a,12,B,3,B3
8x6,15,j3,J,J.3.4a,16,C,3,C3
8x6,15,j3,J,J.3.4a,20,D,3,D3
8x6,15,j3,J,J.3.4a,24,E,3,E3
8x6,15,j3,J,J.3.4a,28,F,3,F3
8x6,15,j3,J,J.3.20a,8,A,4,A4
8x6,15,j3,J,J.3.20a,12,B,4,B4
8x6,15,j3,J,J.3.20a,16,C,4,C4
8x6,15,j3,J,J.3.20a,20,D,4,D4
8x6,15,j3,J,J.3.20a,24,E,4,E4
8x6,15,j3,J,J.3.20a,28,F,4,F4
8x6,15,j3,J,J.3.28b,8,A,5,A5
8x6,15,j3,J,J.3.28b,12,B,5,B5
8x6,15,j3,J,J.3.28b,16,C,5,C5
8x6,15,j3,J,J.3.28b,20,D,5,D5
8x6,15,j3,J,J.3.28b,24,E,5,E5
8x6,15,j3,J,J.3.28b,28,F,5,F5
8x6,15,j3,J,J.3.32a,8,A,6,A6
8x6,15,j3,J,J.3.32a,12,B,6,B6
8x6,15,j3,J,J.3.32a,16,C,6,C6
8x6,15,j3,J,J.3.32a,20,D,6,D6
8x6,15,j3,J,J.3.32a,24,E,6,E6
8x6,15,j3,J,J.3.32a,28,F,6,F6
8x6,15,j3,J,J.3.38a,8,A,7,A7
8x6,15,j3,J,J.3.38a,12,B,7,B7
8x6,15,j3,J,J.3.38a,16,C,7,C7
8x6,15,j3,J,J.3.38a,20,D,7,D7
8x6,15,j3,J,J.3.38a,24,E,7,E7
8x6,15,j3,J,J.3.38a,28,F,7,F7
8x6,15,j3,J,J.3.42b,8,A,8,A8
8x6,15,j3,J,J.3.42b,12,B,8,B8
8x6,15,j3,J,J.3.42b,16,C,8,C8
8x6,15,j3,J,J.3.42b,20,D,8,D8
8x6,15,j3,J,J.3.42b,24,E,8,E8
8x6,15,j3,J,J.3.42b,28,F,8,F8
8x6,16,k1,K,K.1.3a,8,A,1,A1
8x6,16,k1,K,K.1.3a,12,B,1,B1
8x6,16,k1,K,K.1.3a,16,C,1,C1
8x6,16,k1,K,K.1.3a,20,D,1,D1
8x6,16,k1,K,K.1.3a,24,E,1,E1
8x6,16,k1,K,K.1.3a,28,F,1,F1
8x6,16,k1,K,K.1.5a,8,A,2,A2
8x6,16,k1,K,K.1.5a,12,B,2,B2
8x6,16,k1,K,K.1.5a,16,C,2,C2
8x6,16,k1,K,K.1.5a,20,D,2,D2
8x6,16,k1,K,K.1.5a,24,E,2,E2
8x6,16,k1,K,K.1.5a,28,F,2,F2
8x6,16,k1,K,K.1.7b,8,A,3,A3
8x6,16,k1,K,K.1.7b,12,B,3,B3
8x6,16,k1,K,K.1.7b,16,C,3,C3
8x6,16,k1,K,K.1.7b,20,D,3,D3
8x6,16,k1,K,K.1.7b,24,E,3,E3
8x6,16,k1,K,K.1.7b,28,F,3,F3
8x6,16,k1,K,K.1.32b,8,A,4,A4
8x6,16,k1,K,K.1.32b,12,B,4,B4
8x6,16,k1,K,K.1.32b,16,C,4,C4
8x6,16,k1,K,K.1.32b,20,D,4,D4
8x6,16,k1,K,K.1.32b,24,E,4,E4
8x6,16,k1,K,K.1.32b,28,F,4,F4
8x6,16,k1,K,K.3.3a,8,A,5,A5
8x6,16,k1,K,K.3.3a,12,B,5,B5
8x6,16,k1,K,K.3.3a,16,C,5,C5
8x6,16,k1,K,K.3.3a,20,D,5,D5
8x6,16,k1,K,K.3.3a,24,E,5,E5
8x6,16,k1,K,K.3.3a,28,F,5,F5
8x6,16,k1,K,K.3.4b,8,A,6,A6
8x6,16,k1,K,K.3.4b,12,B,6,B6
8x6,16,k1,K,K.3.4b,16,C,6,C6
8x6,16,k1,K,K.3.4b,20,D,6,D6
8x6,16,k1,K,K.3.4b,24,E,6,E6
8x6,16,k1,K,K.3.4b,28,F,6,F6
8x6,16,k1,K,K.3.3d,8,A,7,A7
8x6,16,k1,K,K.3.3d,12,B,7,B7
8x6,16,k1,K,K.3.3d,16,C,7,C7
8x6,16,k1,K,K.3.3d,20,D,7,D7
8x6,16,k1,K,K.3.3d,24,E,7,E7
8x6,16,k1,K,K.3.3d,28,F,7,F7
8x6,16,k1,K,K.3.16a,8,A,8,A8
8x6,16,k1,K,K.3.16a,12,B,8,B8
8x6,16,k1,K,K.3.16a,16,C,8,C8
8x6,16,k1,K,K.3.16a,20,D,8,D8
8x6,16,k1,K,K.3.16a,24,E,8,E8
8x6,16,k1,K,K.3.16a,28,F,8,F8
8x6,17,k2,K,K.1.3a,8,A,1,A1
8x6,17,k2,K,K.1.3a,12,B,1,B1
8x6,17,k2,K,K.1.3a,16,C,1,C1
8x6,17,k2,K,K.1.3a,20,D,1,D1
8x6,17,k2,K,K.1.3a,24,E,1,E1
8x6,17,k2,K,K.1.3a,28,F,1,F1
8x6,17,k2,K,K.1.5a,8,A,2,A2
8x6,17,k2,K,K.1.5a,12,B,2,B2
8x6,17,k2,K,K.1.5a,16,C,2,C2
8x6,17,k2,K,K.1.5a,20,D,2,D2
8x6,17,k2,K,K.1.5a,24,E,2,E2
8x6,17,k2,K,K.1.5a,28,F,2,F2
8x6,17,k2,K,K.1.7b,8,A,3,A3
8x6,17,k2,K,K.1.7b,12,B,3,B3
8x6,17,k2,K,K.1.7b,16,C,3,C3
8x6,17,k2,K,K.1.7b,20,D,3,D3
8x6,17,k2,K,K.1.7b,24,E,3,E3
8x6,17,k2,K,K.1.7b,28,F,3,F3
8x6,17,k2,K,K.1.32b,8,A,4,A4
8x6,17,k2,K,K.1.32b,12,B,4,B4
8x6,17,k2,K,K.1.32b,16,C,4,C4
8x6,17,k2,K,K.1.32b,20,D,4,D4
8x6,17,k2,K,K.1.32b,24,E,4,E4
8x6,17,k2,K,K.1.32b,28,F,4,F4
8x6,17,k2,K,K.3.3a,8,A,5,A5
8x6,17,k2,K,K.3.3a,12,B,5,B5
8x6,17,k2,K,K.3.3a,16,C,5,C5
8x6,17,k2,K,K.3.3a,20,D,5,D5
8x6,17,k2,K,K.3.3a,24,E,5,E5
8x6,17,k2,K,K.3.3a,28,F,5,F5
8x6,17,k2,K,K.3.4b,8,A,6,A6
8x6,17,k2,K,K.3.4b,12,B,6,B6
8x6,17,k2,K,K.3.4b,16,C,6,C6
8x6,17,k2,K,K.3.4b,20,D,6,D6
8x6,17,k2,K,K.3.4b,24,E,6,E6
